 x,y,c (mol/m^3)
-115,-115,1.00E-04
-114,-115,1.00E-04
-113,-115,1.00E-04
-112,-115,1.00E-04
-111,-115,1.00E-04
-110,-115,1.00E-04
-109,-115,1.00E-04
-108,-115,1.00E-04
-107,-115,1.00E-04
-106,-115,1.00E-04
-105,-115,1.00E-04
-104,-115,1.00E-04
-103,-115,1.00E-04
-102,-115,1.00E-04
-101,-115,1.00E-04
-100,-115,1.00E-04
-99,-115,1.00E-04
-98,-115,1.00E-04
-97,-115,1.00E-04
-96,-115,1.00E-04
-95,-115,1.00E-04
-94,-115,1.00E-04
-93,-115,1.00E-04
-92,-115,1.00E-04
-91,-115,1.00E-04
-90,-115,1.00E-04
-89,-115,1.00E-04
-88,-115,1.00E-04
-87,-115,1.00E-04
-86,-115,1.00E-04
-85,-115,1.00E-04
-84,-115,1.00E-04
-83,-115,1.00E-04
-82,-115,1.00E-04
-81,-115,1.00E-04
-80,-115,1.00E-04
-79,-115,1.00E-04
-78,-115,1.00E-04
-77,-115,1.00E-04
-76,-115,1.00E-04
-75,-115,1.00E-04
-74,-115,1.00E-04
-73,-115,1.00E-04
-72,-115,1.00E-04
-71,-115,1.00E-04
-70,-115,1.00E-04
-69,-115,1.00E-04
-68,-115,1.00E-04
-67,-115,1.00E-04
-66,-115,1.00E-04
-65,-115,1.00E-04
-64,-115,1.00E-04
-63,-115,1.00E-04
-62,-115,1.00E-04
-61,-115,1.00E-04
-60,-115,1.00E-04
-59,-115,1.00E-04
-58,-115,1.00E-04
-57,-115,1.00E-04
-56,-115,1.00E-04
-55,-115,1.00E-04
-54,-115,1.00E-04
-53,-115,1.00E-04
-52,-115,1.00E-04
-51,-115,1.00E-04
-50,-115,1.00E-04
-49,-115,1.00E-04
-48,-115,1.00E-04
-47,-115,1.00E-04
-46,-115,1.00E-04
-45,-115,1.00E-04
-44,-115,1.00E-04
-43,-115,1.00E-04
-42,-115,1.00E-04
-41,-115,1.00E-04
-40,-115,1.00E-04
-39,-115,1.00E-04
-38,-115,1.00E-04
-37,-115,1.00E-04
-36,-115,1.00E-04
-35,-115,1.00E-04
-34,-115,1.00E-04
-33,-115,1.00E-04
-32,-115,1.00E-04
-31,-115,1.00E-04
-30,-115,1.00E-04
-29,-115,1.00E-04
-28,-115,1.00E-04
-27,-115,1.00E-04
-26,-115,1.00E-04
-25,-115,1.00E-04
-24,-115,1.00E-04
-23,-115,1.00E-04
-22,-115,1.00E-04
-21,-115,1.00E-04
-20,-115,1.00E-04
-19,-115,1.00E-04
-18,-115,1.00E-04
-17,-115,1.00E-04
-16,-115,1.00E-04
-15,-115,1.00E-04
-14,-115,1.00E-04
-13,-115,1.00E-04
-12,-115,1.00E-04
-11,-115,1.00E-04
-10,-115,1.00E-04
-9,-115,1.00E-04
-8,-115,1.00E-04
-7,-115,1.00E-04
-6,-115,1.00E-04
-5,-115,1.00E-04
-4,-115,1.00E-04
-3,-115,1.00E-04
-2,-115,1.00E-04
-1,-115,1.00E-04
0,-115,1.00E-04
1,-115,1.00E-04
2,-115,1.00E-04
3,-115,1.00E-04
4,-115,1.00E-04
5,-115,1.00E-04
6,-115,1.00E-04
7,-115,1.00E-04
8,-115,1.00E-04
9,-115,1.00E-04
10,-115,1.00E-04
11,-115,1.00E-04
12,-115,1.00E-04
13,-115,1.00E-04
14,-115,1.00E-04
15,-115,1.00E-04
16,-115,1.00E-04
17,-115,1.00E-04
18,-115,1.00E-04
19,-115,1.00E-04
20,-115,1.00E-04
21,-115,1.00E-04
22,-115,1.00E-04
23,-115,1.00E-04
24,-115,1.00E-04
25,-115,1.00E-04
26,-115,1.00E-04
27,-115,1.00E-04
28,-115,1.00E-04
29,-115,1.00E-04
30,-115,1.00E-04
31,-115,1.00E-04
32,-115,1.00E-04
33,-115,1.00E-04
34,-115,1.00E-04
35,-115,1.00E-04
36,-115,1.00E-04
37,-115,1.00E-04
38,-115,1.00E-04
39,-115,1.00E-04
40,-115,1.00E-04
41,-115,1.00E-04
42,-115,1.00E-04
43,-115,1.00E-04
44,-115,1.00E-04
45,-115,1.00E-04
46,-115,1.00E-04
47,-115,1.00E-04
48,-115,1.00E-04
49,-115,1.00E-04
50,-115,1.00E-04
51,-115,1.00E-04
52,-115,1.00E-04
53,-115,1.00E-04
54,-115,1.00E-04
55,-115,1.00E-04
56,-115,1.00E-04
57,-115,1.00E-04
58,-115,1.00E-04
59,-115,1.00E-04
60,-115,1.00E-04
61,-115,1.00E-04
62,-115,1.00E-04
63,-115,1.00E-04
64,-115,1.00E-04
65,-115,1.00E-04
66,-115,1.00E-04
67,-115,1.00E-04
68,-115,1.00E-04
69,-115,1.00E-04
70,-115,1.00E-04
71,-115,1.00E-04
72,-115,1.00E-04
73,-115,1.00E-04
74,-115,1.00E-04
75,-115,1.00E-04
76,-115,1.00E-04
77,-115,1.00E-04
78,-115,1.00E-04
79,-115,1.00E-04
80,-115,1.00E-04
81,-115,1.00E-04
82,-115,1.00E-04
83,-115,1.00E-04
84,-115,1.00E-04
85,-115,1.00E-04
86,-115,1.00E-04
87,-115,1.00E-04
88,-115,1.00E-04
89,-115,1.00E-04
90,-115,1.00E-04
91,-115,1.00E-04
92,-115,1.00E-04
93,-115,1.00E-04
94,-115,1.00E-04
95,-115,1.00E-04
96,-115,1.00E-04
97,-115,1.00E-04
98,-115,1.00E-04
99,-115,1.00E-04
100,-115,1.00E-04
101,-115,1.00E-04
102,-115,1.00E-04
103,-115,1.00E-04
104,-115,1.00E-04
105,-115,1.00E-04
106,-115,1.00E-04
107,-115,1.00E-04
108,-115,1.00E-04
109,-115,1.00E-04
