% x	y	z	pH
0	0	0.025	7.024375047
0.01	0	0.025	7.01694767
0.02	0	0.025	7.023206142
0.03	0	0.025	6.967439084
0.04	0	0.025	6.911588954
0.05	0	0.025	6.780604557
0.06	0	0.025	6.701801838
0.07	0	0.025	6.654611932
0.08	0	0.025	6.66006199
0.09	0	0.025	6.758834757
0.1	0	0.025	6.898480803
0.11	0	0.025	7.001773751
0.12	0	0.025	7.011755505
0.13	0	0.025	7.000575152
0.14	0	0.025	6.971737825
0.15	0	0.025	6.945798522
0.16	0	0.025	6.940802313
0.17	0	0.025	6.948918539
0.18	0	0.025	6.96077807
0.19	0	0.025	6.975624981
0.2	0	0.025	6.987591034
0.21	0	0.025	6.997166667
0.22	0	0.025	6.997457867
0.23	0	0.025	6.998230521
0	0.01	0.025	6.986026252
0.01	0.01	0.025	6.957006168
0.02	0.01	0.025	6.856705998
0.03	0.01	0.025	6.693926785
0.04	0.01	0.025	6.535546163
0.05	0.01	0.025	6.533411012
0.06	0.01	0.025	6.491393053
0.07	0.01	0.025	6.453438368
0.08	0.01	0.025	6.479277848
0.09	0.01	0.025	6.519970313
0.1	0.01	0.025	6.583937683
0.11	0.01	0.025	6.688803131
0.12	0.01	0.025	6.768965083
0.13	0.01	0.025	6.854531904
0.14	0.01	0.025	6.895599807
0.15	0.01	0.025	6.910545168
0.16	0.01	0.025	6.886735141
0.17	0.01	0.025	6.910965268
0.18	0.01	0.025	6.910637838
0.19	0.01	0.025	6.933679529
0.2	0.01	0.025	6.95379057
0.21	0.01	0.025	6.97288955
0.22	0.01	0.025	6.991093292
0.23	0.01	0.025	6.995449371
0	0.02	0.025	6.762961604
0.01	0.02	0.025	6.741890361
0.02	0.02	0.025	6.636810587
0.03	0.02	0.025	6.572881687
0.04	0.02	0.025	6.701927651
0.05	0.02	0.025	7.244726603
0.06	0.02	0.025	6.608632896
0.07	0.02	0.025	6.692343861
0.08	0.02	0.025	6.932358099
0.09	0.02	0.025	7.365751293
0.1	0.02	0.025	6.596513576
0.11	0.02	0.025	6.417540746
0.12	0.02	0.025	6.448749856
0.13	0.02	0.025	6.646473799
0.14	0.02	0.025	6.843295882
0.15	0.02	0.025	7.179200049
0.16	0.02	0.025	7.228070965
0.17	0.02	0.025	7.23639175
0.18	0.02	0.025	7.059474479
0.19	0.02	0.025	6.972277718
0.2	0.02	0.025	6.919607798
0.21	0.02	0.025	6.926279312
0.22	0.02	0.025	6.955009648
0.23	0.02	0.025	6.962353603
0	0.03	0.025	6.431890981
0.01	0.03	0.025	6.506565311
0.02	0.03	0.025	6.921759905
0.03	0.03	0.025	6.326149324
0.04	0.03	0.025	5.888516657
0.05	0.03	0.025	5.613594977
0.06	0.03	0.025	5.467403007
0.07	0.03	0.025	5.416129378
0.08	0.03	0.025	5.48029356
0.09	0.03	0.025	5.613200533
0.1	0.03	0.025	5.836230408
0.11	0.03	0.025	6.220195073
0.12	0.03	0.025	9.844841555
0.13	0.03	0.025	7.225366026
0.14	0.03	0.025	6.896665222
0.15	0.03	0.025	6.572070337
0.16	0.03	0.025	6.493805775
0.17	0.03	0.025	6.55376043
0.18	0.03	0.025	6.73587202
0.19	0.03	0.025	7.163566828
0.2	0.03	0.025	7.260327053
0.21	0.03	0.025	6.99104937
0.22	0.03	0.025	6.903153228
0.23	0.03	0.025	6.868081312
0	0.04	0.025	6.256489731
0.01	0.04	0.025	7.499902727
0.02	0.04	0.025	5.916676763
0.03	0.04	0.025	5.50475416
0.04	0.04	0.025	5.261307285
0.05	0.04	0.025	5.144488221
0.06	0.04	0.025	5.105604152
0.07	0.04	0.025	5.067838769
0.08	0.04	0.025	5.088252932
0.09	0.04	0.025	5.140322431
0.1	0.04	0.025	5.186845296
0.11	0.04	0.025	5.432978902
0.12	0.04	0.025	5.740459968
0.13	0.04	0.025	6.028455577
0.14	0.04	0.025	6.197657224
0.15	0.04	0.025	6.168175597
0.16	0.04	0.025	6.153456557
0.17	0.04	0.025	6.120960358
0.18	0.04	0.025	6.116414035
0.19	0.04	0.025	6.292936264
0.2	0.04	0.025	6.580611343
0.21	0.04	0.025	7.171685563
0.22	0.04	0.025	7.056369456
0.23	0.04	0.025	6.819482805
0	0.05	0.025	6.4155372
0.01	0.05	0.025	5.767811924
0.02	0.05	0.025	5.300599721
0.03	0.05	0.025	5.18966109
0.04	0.05	0.025	5.446127806
0.05	0.05	0.025	5.411534093
0.06	0.05	0.025	4.631279689
0.07	0.05	0.025	4.450310684
0.08	0.05	0.025	4.687168468
0.09	0.05	0.025	5.528080033
0.1	0.05	0.025	5.049821499
0.11	0.05	0.025	5.045042116
0.12	0.05	0.025	5.211855785
0.13	0.05	0.025	5.547761678
0.14	0.05	0.025	6.602652224
0.15	0.05	0.025	5.646357304
0.16	0.05	0.025	5.537144514
0.17	0.05	0.025	5.528573384
0.18	0.05	0.025	6.085978335
0.19	0.05	0.025	6.228196786
0.2	0.05	0.025	6.181712437
0.21	0.05	0.025	6.316471912
0.22	0.05	0.025	6.957361281
0.23	0.05	0.025	8.04608529
0	0.06	0.025	5.517099496
0.01	0.06	0.025	5.315665774
0.02	0.06	0.025	5.076097011
0.03	0.06	0.025	5.537791616
0.04	0.06	0.025	4.146207906
0.05	0.06	0.025	3.839634924
0.06	0.06	0.025	3.563346156
0.07	0.06	0.025	3.480734868
0.08	0.06	0.025	3.608336971
0.09	0.06	0.025	3.842090262
0.1	0.06	0.025	4.252887069
0.11	0.06	0.025	5.342545764
0.12	0.06	0.025	5.158663479
0.13	0.06	0.025	5.802298685
0.14	0.06	0.025	4.9163415
0.15	0.06	0.025	4.610488531
0.16	0.06	0.025	4.559757141
0.17	0.06	0.025	4.605730513
0.18	0.06	0.025	4.791540278
0.19	0.06	0.025	5.200388771
0.2	0.06	0.025	6.765322982
0.21	0.06	0.025	6.026317505
0.22	0.06	0.025	6.238920053
0.23	0.06	0.025	6.474969192
0	0.07	0.025	5.121961898
0.01	0.07	0.025	5.22520155
0.02	0.07	0.025	5.093741745
0.03	0.07	0.025	4.009879959
0.04	0.07	0.025	3.4196447
0.05	0.07	0.025	3.137175224
0.06	0.07	0.025	2.957109342
0.07	0.07	0.025	2.941378616
0.08	0.07	0.025	2.972667712
0.09	0.07	0.025	3.136122403
0.1	0.07	0.025	3.450154034
0.11	0.07	0.025	3.969778467
0.12	0.07	0.025	4.775419879
0.13	0.07	0.025	4.599579963
0.14	0.07	0.025	4.207436014
0.15	0.07	0.025	3.991658674
0.16	0.07	0.025	3.916933481
0.17	0.07	0.025	3.986829592
0.18	0.07	0.025	4.149300813
0.19	0.07	0.025	4.419593182
0.2	0.07	0.025	4.991070246
0.21	0.07	0.025	5.99870518
0.22	0.07	0.025	6.107950954
0.23	0.07	0.025	5.996376219
0	0.08	0.025	4.879402895
0.01	0.08	0.025	5.386433263
0.02	0.08	0.025	4.032596076
0.03	0.08	0.025	3.347552726
0.04	0.08	0.025	2.98279031
0.05	0.08	0.025	2.71433415
0.06	0.08	0.025	2.548983798
0.07	0.08	0.025	2.501927502
0.08	0.08	0.025	2.558256373
0.09	0.08	0.025	2.698439207
0.1	0.08	0.025	2.967817034
0.11	0.08	0.025	3.378586973
0.12	0.08	0.025	3.838124745
0.13	0.08	0.025	3.965660047
0.14	0.08	0.025	3.727760102
0.15	0.08	0.025	3.563510393
0.16	0.08	0.025	3.504110654
0.17	0.08	0.025	3.550283176
0.18	0.08	0.025	3.705924714
0.19	0.08	0.025	3.979149842
0.2	0.08	0.025	4.345969766
0.21	0.08	0.025	5.052018302
0.22	0.08	0.025	6.256946957
0.23	0.08	0.025	5.738619445
0	0.09	0.025	4.806992319
0.01	0.09	0.025	4.587387697
0.02	0.09	0.025	3.564772177
0.03	0.09	0.025	3.021513822
0.04	0.09	0.025	2.665743492
0.05	0.09	0.025	2.414834432
0.06	0.09	0.025	2.256712031
0.07	0.09	0.025	2.214709151
0.08	0.09	0.025	2.261897297
0.09	0.09	0.025	2.403925653
0.1	0.09	0.025	2.659624125
0.11	0.09	0.025	3.028655216
0.12	0.09	0.025	3.411943316
0.13	0.09	0.025	3.564885379
0.14	0.09	0.025	3.417200926
0.15	0.09	0.025	3.262501144
0.16	0.09	0.025	3.216398494
0.17	0.09	0.025	3.259953748
0.18	0.09	0.025	3.408269991
0.19	0.09	0.025	3.654748694
0.2	0.09	0.025	4.019846829
0.21	0.09	0.025	4.590018887
0.22	0.09	0.025	5.741559699
0.23	0.09	0.025	5.550360332
0	0.1	0.025	4.836356425
0.01	0.1	0.025	4.057747981
