% x                       y                        z                        abs(c) (mol/m^3) @ t=36000
0                         0                        0.025                    2.637695232436977E-4
0.01                      0                        0.025                    1.2117263982034223E-4
0.02                      0                        0.025                    1.9595324081040882E-4
0.03                      0                        0.025                    7.281000313676467E-4
0.04                      0                        0.025                    0.0012532731306358392
0.05                      0                        0.025                    0.0017762604174652308
0.06                      0                        0.025                    0.0021257665009901026
0.07                      0                        0.025                    0.002250385378197719
0.08                      0                        0.025                    0.002173327679590966
0.09                      0                        0.025                    0.001840043963246583
0.1                       0                        0.025                    0.0013501999409549783
0.11                      0                        0.025                    8.891354764058824E-4
0.12                      0                        0.025                    7.238092569407375E-4
0.13                      0                        0.025                    7.907160324154441E-4
0.14                      0                        0.025                    9.813313321442025E-4
0.15                      0                        0.025                    0.001084351670478683
0.16                      0                        0.025                    0.0011760766780111519
0.17                      0                        0.025                    0.0011515350450520215
0.18                      0                        0.025                    9.578278891386863E-4
0.19                      0                        0.025                    6.682645534786211E-4
0.2                       0                        0.025                    3.275606841094221E-4
0.21                      0                        0.025                    7.212512461991646E-5
0.22                      0                        0.025                    1.0025054269474255E-4
0.23                      0                        0.025                    1.7788327565100632E-4
0                         0.01                     0.025                    2.77606882829656E-4
0.01                      0.01                     0.025                    4.31943910311517E-4
0.02                      0.01                     0.025                    9.558099090437956E-4
0.03                      0.01                     0.025                    0.0017249327881208236
0.04                      0.01                     0.025                    0.0023162715611986153
0.05                      0.01                     0.025                    0.0024403189069579275
0.06                      0.01                     0.025                    0.0025726021563688773
0.07                      0.01                     0.025                    0.002469229487180521
0.08                      0.01                     0.025                    0.0024129840292503053
0.09                      0.01                     0.025                    0.002674732163700127
0.1                       0.01                     0.025                    0.0029627282447757305
0.11                      0.01                     0.025                    0.002458002416445193
0.12                      0.01                     0.025                    0.0019954531644649476
0.13                      0.01                     0.025                    0.001651552528956594
0.14                      0.01                     0.025                    0.0015553450556767285
0.15                      0.01                     0.025                    0.0014757498954595435
0.16                      0.01                     0.025                    0.0017969965610725098
0.17                      0.01                     0.025                    0.0015366958796947778
0.18                      0.01                     0.025                    0.0015349958965403627
0.19                      0.01                     0.025                    0.0014501334940118188
0.2                       0.01                     0.025                    9.865411530165591E-4
0.21                      0.01                     0.025                    5.47022036702019E-4
0.22                      0.01                     0.025                    1.8605903898526207E-4
0.23                      0.01                     0.025                    1.0677786246319045E-4
0                         0.02                     0.025                    0.0017723346936381085
0.01                      0.02                     0.025                    0.0018983785040033341
0.02                      0.02                     0.025                    0.0026561735989648998
0.03                      0.02                     0.025                    0.0026123099045847337
0.04                      0.02                     0.025                    0.0023692165253798568
0.05                      0.02                     0.025                    1.8767805851552455E-4
0.06                      0.02                     0.025                    0.0023096911043251366
0.07                      0.02                     0.025                    0.003433116428290461
0.08                      0.02                     0.025                    0.001875865225240811
0.09                      0.02                     0.025                    0.0012514255766938123
0.1                       0.02                     0.025                    0.0026665928214635527
0.11                      0.02                     0.025                    0.004620758685536293
0.12                      0.02                     0.025                    0.003656647344276325
0.13                      0.02                     0.025                    0.0021273417551656276
0.14                      0.02                     0.025                    2.2577169118976378E-4
0.15                      0.02                     0.025                    0.0021602654428830963
0.16                      0.02                     0.025                    0.003231348678708751
0.17                      0.02                     0.025                    0.0019561295209439074
0.18                      0.02                     0.025                    4.495794467014115E-4
0.19                      0.02                     0.025                    8.005849552516037E-4
0.2                       0.02                     0.025                    0.0015503896671565372
0.21                      0.02                     0.025                    0.0014591473764854032
0.22                      0.02                     0.025                    0.00111842588198908
0.23                      0.02                     0.025                    0.0010289975935089347
0                         0.03                     0.025                    0.004473802240193588
0.01                      0.03                     0.025                    0.0030268117966593044
0.02                      0.03                     0.025                    0.001074365503796979
0.03                      0.03                     0.025                    0.004112569577745614
0.04                      0.03                     0.025                    0.01958335402724855
0.05                      0.03                     0.025                    0.04102772841356694
0.06                      0.03                     0.025                    0.05769601790862281
0.07                      0.03                     0.025                    0.06109838259305126
0.08                      0.03                     0.025                    0.05315089842441518
0.09                      0.03                     0.025                    0.03542514635952022
0.1                       0.03                     0.025                    0.019737231123120792
0.11                      0.03                     0.025                    0.008862012458302633
0.12                      0.03                     0.025                    0.0074225181798017684
0.13                      0.03                     0.025                    0.013296809216580854
0.14                      0.03                     0.025                    0.02477793855678219
0.15                      0.03                     0.025                    0.033637666670537435
0.16                      0.03                     0.025                    0.03822262741361054
0.17                      0.03                     0.025                    0.03403513053215538
0.18                      0.03                     0.025                    0.026273010842198036
0.19                      0.03                     0.025                    0.015179591849852432
0.2                       0.03                     0.025                    0.003903885215456944
0.21                      0.03                     0.025                    5.186739035512399E-4
0.22                      0.03                     0.025                    0.002352407715737443
0.23                      0.03                     0.025                    0.0029350249144435327
0                         0.04                     0.025                    0.006553035508528827
0.01                      0.04                     0.025                    3.371384651140822E-4
0.02                      0.04                     0.025                    0.01996858932176753
0.03                      0.04                     0.025                    0.0597632666067595
0.04                      0.04                     0.025                    0.11952474894136092
0.05                      0.04                     0.025                    0.18310517287079078
0.06                      0.04                     0.025                    0.2406884658339446
0.07                      0.04                     0.025                    0.2627953983159092
0.08                      0.04                     0.025                    0.24199450474614315
0.09                      0.04                     0.025                    0.17858116841107083
0.1                       0.04                     0.025                    0.11840169245578328
0.11                      0.04                     0.025                    0.07366670303308376
0.12                      0.04                     0.025                    0.05685086266177593
0.13                      0.04                     0.025                    0.08022646320752994
0.14                      0.04                     0.025                    0.11996105395680882
0.15                      0.04                     0.025                    0.14970160136112154
0.16                      0.04                     0.025                    0.16889652526900167
0.17                      0.04                     0.025                    0.15053119236742213
0.18                      0.04                     0.025                    0.11127961531532982
0.19                      0.04                     0.025                    0.0752813150995757
0.2                       0.04                     0.025                    0.03464980553204579
0.21                      0.04                     0.025                    0.012906951609973233
0.22                      0.04                     0.025                    0.0016655953549008385
0.23                      0.04                     0.025                    0.004926541765747304
0                         0.05                     0.025                    0.0025100793416329434
0.01                      0.05                     0.025                    0.023057545229681668
0.02                      0.05                     0.025                    0.09751360090660485
