 X,Y,c (mol/m^3)
0,0,3.84E-05
0.001,0,4.07E-05
0.002,0,4.31E-05
0.003,0,4.54E-05
0.004,0,4.78E-05
0.005,0,5.01E-05
0.006,0,5.25E-05
0.007,0,5.48E-05
0.008,0,5.72E-05
0.009,0,5.96E-05
0.01,0,6.19E-05
0.011,0,6.43E-05
0.012,0,6.66E-05
0.013,0,7.44E-05
0.014,0,1.01E-04
0.015,0,1.28E-04
0.016,0,1.55E-04
0.017,0,1.82E-04
0.018,0,2.08E-04
0.019,0,2.35E-04
0.02,0,2.62E-04
0.021,0,2.89E-04
0.022,0,3.16E-04
0.023,0,3.43E-04
0.024,0,3.69E-04
0.025,0,3.96E-04
0.026,0,4.53E-04
0.027,0,5.46E-04
0.028,0,6.39E-04
0.029,0,7.33E-04
0.03,0,8.26E-04
0.031,0,9.20E-04
0.032,0,0.001013168
0.033,0,0.001106592
0.034,0,0.001200015
0.035,0,0.001293438
0.036,0,0.001386861
0.037,0,0.001480284
0.038,0,0.001573707
0.039,0,0.001801606
0.04,0,0.002096742
0.041,0,0.002391878
0.042,0,0.002687015
0.043,0,0.002982151
0.044,0,0.003277288
0.045,0,0.003572424
0.046,0,0.00386756
0.047,0,0.004162697
0.048,0,0.004457833
0.049,0,0.004752969
0.05,0,0.005048106
0.051,0,0.005343242
0.052,0,0.00583214
0.053,0,0.006345258
0.054,0,0.006858376
0.055,0,0.007371494
0.056,0,0.007884612
0.057,0,0.008397729
0.058,0,0.008910847
0.059,0,0.009423965
0.06,0,0.009937083
0.061,0,0.010450201
0.062,0,0.010963319
0.063,0,0.011476437
0.064,0,0.012008915
0.065,0,0.012696279
0.066,0,0.013383643
0.067,0,0.014071007
0.068,0,0.014758371
0.069,0,0.015445735
0.07,0,0.016133098
0.071,0,0.016820462
0.072,0,0.017507826
0.073,0,0.01819519
0.074,0,0.018882554
0.075,0,0.019569918
0.076,0,0.020257281
0.077,0,0.021062877
0.078,0,0.022104938
0.079,0,0.023146999
0.08,0,0.024189059
0.081,0,0.02523112
0.082,0,0.02627318
0.083,0,0.027315241
0.084,0,0.028357302
0.085,0,0.029399362
0.086,0,0.030441423
0.087,0,0.031483483
0.088,0,0.032525544
0.089,0,0.033567604
0.09,0,0.03435402
0.091,0,0.034935921
0.092,0,0.035517821
0.093,0,0.036099721
0.094,0,0.036681621
0.095,0,0.037263521
0.096,0,0.037845422
0.097,0,0.038427322
0.098,0,0.039009222
0.099,0,0.039591122
0.1,0,0.040173023
0.101,0,0.040754923
0.102,0,0.041336823
0.103,0,0.041641193
0.104,0,0.041866269
0.105,0,0.042091344
0.106,0,0.04231642
0.107,0,0.042541496
0.108,0,0.042766571
0.109,0,0.042991647
0.11,0,0.043216723
0.111,0,0.043441798
0.112,0,0.043666874
0.113,0,0.04389195
0.114,0,0.044117025
0.115,0,0.044342101
0.116,0,0.044164087
0.117,0,0.043986074
0.118,0,0.043808061
0.119,0,0.043630047
0.12,0,0.043452034
0.121,0,0.04327402
0.122,0,0.043096007
0.123,0,0.042917994
0.124,0,0.04273998
0.125,0,0.042561967
0.126,0,0.042383954
0.127,0,0.04220594
0.128,0,0.041938656
0.129,0,0.041358925
0.13,0,0.040779193
0.131,0,0.040199462
0.132,0,0.03961973
0.133,0,0.039039999
0.134,0,0.038460267
0.135,0,0.037880536
0.136,0,0.037300804
0.137,0,0.036721073
0.138,0,0.036141341
0.139,0,0.03556161
0.14,0,0.034981878
0.141,0,0.034234973
0.142,0,0.033279101
0.143,0,0.032323228
0.144,0,0.031367356
0.145,0,0.030411484
0.146,0,0.029455611
0.147,0,0.028499739
0.148,0,0.027543867
0.149,0,0.026587994
0.15,0,0.025632122
0.151,0,0.02467625
0.152,0,0.023720377
0.153,0,0.022764505
0.154,0,0.021918528
0.155,0,0.021127499
0.156,0,0.02033647
0.157,0,0.019545441
0.158,0,0.018754412
0.159,0,0.017963383
0.16,0,0.017172354
0.161,0,0.016381325
0.162,0,0.015590296
0.163,0,0.014799267
0.164,0,0.014008238
0.165,0,0.013217209
0.166,0,0.01242618
0.167,0,0.01185457
0.168,0,0.011310387
0.169,0,0.010766204
0.17,0,0.010222021
0.171,0,0.009677838
0.172,0,0.009133656
0.173,0,0.008589473
0.174,0,0.00804529
0.175,0,0.007501107
0.176,0,0.006956925
0.177,0,0.006412742
0.178,0,0.005868559
0.179,0,0.005354948
0.18,0,0.005085909
0.181,0,0.00481687
0.182,0,0.004547831
0.183,0,0.004278792
0.184,0,0.004009753
0.185,0,0.003740715
0.186,0,0.003471676
0.187,0,0.003202637
0.188,0,0.002933598
0.189,0,0.002664559
0.19,0,0.00239552
0.191,0,0.002126481
0.192,0,0.001911268
0.193,0,0.001803704
0.194,0,0.001696141
0.195,0,0.001588578
0.196,0,0.001481014
0.197,0,0.001373451
0.198,0,0.001265888
0.199,0,0.001158324
0.2,0,0.001050761
0.201,0,9.43E-04
0.202,0,8.36E-04
0.203,0,7.28E-04
0.204,0,6.21E-04
0.205,0,5.51E-04
0.206,0,5.12E-04
0.207,0,4.73E-04
0.208,0,4.34E-04
0.209,0,3.95E-04
0.21,0,3.55E-04
0.211,0,3.16E-04
0.212,0,2.77E-04
0.213,0,2.38E-04
0.214,0,1.99E-04
0.215,0,1.60E-04
0.216,0,1.21E-04
0.217,0,8.17E-05
0.218,0,6.93E-05
0.219,0,6.46E-05
0.22,0,5.99E-05
0.221,0,5.51E-05
0.222,0,5.04E-05
0.223,0,4.56E-05
0.224,0,4.09E-05
0.225,0,3.62E-05
0.226,0,3.14E-05
0.227,0,2.67E-05
0.228,0,2.19E-05
0.229,0,1.72E-05
0.23,0,1.25E-05
0,0.001,4.19E-05
0.001,0.001,4.28E-05
0.002,0.001,4.52E-05
0.003,0.001,4.75E-05
0.004,0.001,4.99E-05
0.005,0.001,5.23E-05
0.006,0.001,5.46E-05
0.007,0.001,5.70E-05
0.008,0.001,5.93E-05
0.009,0.001,6.17E-05
0.01,0.001,6.40E-05
0.011,0.001,6.64E-05
0.012,0.001,6.87E-05
0.013,0.001,1.08E-04
0.014,0.001,1.46E-04
0.015,0.001,1.73E-04
0.016,0.001,2.00E-04
0.017,0.001,2.27E-04
0.018,0.001,2.53E-04
0.019,0.001,2.80E-04
0.02,0.001,3.07E-04
0.021,0.001,3.34E-04
0.022,0.001,3.61E-04
0.023,0.001,3.88E-04
0.024,0.001,4.14E-04
0.025,0.001,4.41E-04
0.026,0.001,5.51E-04
0.027,0.001,6.51E-04
0.028,0.001,7.44E-04
0.029,0.001,8.38E-04
0.03,0.001,9.31E-04
0.031,0.001,0.001024632
0.032,0.001,0.001118055
0.033,0.001,0.001211478
0.034,0.001,0.001304901
0.035,0.001,0.001398324
0.036,0.001,0.001491747
